algo.asNode(nodeId).Airport_name,centrality
EuroAirport Basel-Mulhouse-Freiburg Airport,0.31917876815222834
Wuhan Tianhe International Airport,0.3185088946632021
Tenerife South Airport,0.3183498152032764
Taoxian Airport,0.3183498152032764
Phuket International Airport,0.3183180183779465
Luxembourg-Findel International Airport,0.3182862279037252
Cleveland Hopkins International Airport,0.3181908945686901
Thessaloniki Macedonia International Airport,0.31800039912193173
Astana International Airport,0.3177467597208375
Sofia Airport,0.31771508324194997
Vilnius International Airport,0.31762009168825994
Nashville International Airport,0.31755679553607014
Louis Armstrong New Orleans International Airport,0.3175251569193982
La Aurora Airport,0.31746189859547763
Bilbao Airport,0.31736705835490936
Pisa International Airport,0.3172091171493978
Indianapolis International Airport,0.31714598467509203
John Glenn Columbus International Airport,0.31664182811723796
Hannover Airport,0.3164846077457795
Gran Canaria Airport,0.3164846077457795
Al Maktoum International Airport,0.3164217633042097
Gothenburg-Landvetter Airport,0.3163275434243176
Tripoli International Airport,0.3162961492655816
Faro Airport,0.3162333796388172
Antalya International Airport,0.3162333796388172
Halifax / Stanfield International Airport,0.31620200416708005
Dushanbe Airport,0.3159825500694031
Mariscal Sucre International Airport,0.31585728444003963
Kraków John Paul II International Airport,0.3157946888624653
London Luton Airport,0.3156695721077655
Erbil International Airport,0.31563830840843815
Bergen Airport Flesland,0.31554455445544555
Kansas City International Airport,0.31538842157347846
La Guardia Airport,0.31538842157347846
Bordeaux-Mérignac Airport,0.31535721353651297
Ashgabat International Airport,0.3152012659479774
Heraklion International Nikos Kazantzakis Airport,0.31517009493670883
Perth International Airport,0.3150454725187821
Gregorio Luperon International Airport,0.3149831982605258
Adnan Menderes International Airport,0.3149209486166008
Catania-Fontanarossa Airport,0.31488983302045254
Chicago Midway International Airport,0.31470326849017477
Bradley International Airport,0.3146411294303485
Zagreb Airport,0.31433080185422624
San Antonio International Airport,0.3142068421571527
Billund Airport,0.3141448989650074
Bristol Airport,0.3140829801911895
Entebbe International Airport,0.3140520299566417
Naples International Airport,0.3140210858212632
General Mitchell International Airport,0.31399014778325124
Daniel Oduber Quiros International Airport,0.31389737023539843
Lennart Meri Tallinn Airport,0.31383554899064503
Diagoras Airport,0.31383554899064503
Tribhuvan International Airport,0.3137737520921532
Falcone–Borsellino Airport,0.31374286276826147
Leipzig/Halle Airport,0.31371197952554386
Metropolitan Oakland International Airport,0.31371197952554386
Milano Linate Airport,0.3134651322907446
Zvartnots International Airport,0.31337266470009834
Bremen Airport,0.313187893081761
Licenciado Gustavo Díaz Ordaz International Airport,0.313187893081761
Ljubljana Jože Pučnik Airport,0.31315711899380955
Southwest Florida International Airport,0.31315711899380955
Dubrovnik Airport,0.3130648330058939
Chongqing Jiangbei International Airport,0.3127576054955839
Nantes Atlantique Airport,0.3126962323390895
